"MSA","pcgmp","pop","finance","prof.tech","ict","management"
"Fort Smith, AR-OK",28570,285900,0.09658,NA,0.01469,NA
"Fort Wayne, IN",36080,405700,0.1498,NA,0.06894,NA
"Fresno, CA",26080,882200,0.1531,0.04116,0.01534,0.007476
"Gadsden, AL",20790,102800,0.1414,0.02715,0.007491,0.001873
"Gainesville, FL",29960,252900,0.1404,0.05819,0.02534,NA
"Gainesville, GA",30460,171400,0.1434,0.02566,NA,0.004596
"Glens Falls, NY",23840,128000,0.09633,NA,0.01933,NA
"Grand Forks, ND-MN",29190,97710,0.1038,0.03261,0.01227,NA
"Grand Rapids-Wyoming, MI",37960,771300,0.1908,NA,0.02931,NA
"Greeley, CO",23130,234700,0.135,0.035,0.02947,0.01289
"Green Bay, WI",39600,298300,0.1639,0.04063,0.01134,NA
"Greensboro-High Point, NC",41290,684500,0.1824,NA,0.03485,NA
"Greenville, NC",27340,168400,0.1351,0.02736,0.007818,0.01064
"Hagerstown-Martinsburg, MD-WV",25550,255900,0.1657,0.04635,0.03473,0.003824
"Hanford-Corcoran, CA",19950,145700,0.06846,0.01479,0.004472,0.002752
"Hattiesburg, MS",26960,135100,0.1447,0.03296,0.00769,NA
"Hickory-Lenoir-Morganton, NC",29880,356200,0.1047,0.02067,0.0139,0.02302
"Holland-Grand Haven, MI",32610,256500,0.1389,0.02893,NA,0.00777
"Houston-Sugar Land-Baytown, TX",48640,5486000,0.1372,NA,0.04267,NA
"Huntington-Ashland, WV-KY-OH",24620,284200,0.1077,NA,0.005859,NA
"Huntsville, AL",42300,377700,0.09243,0.1892,0.1339,NA
"Idaho Falls, ID",24870,115300,0.1284,NA,0.01849,NA
"Ithaca, NY",29440,100100,0.1113,0.05974,NA,0.001018
"Jackson, MI",25450,162900,0.1032,0.02677,NA,0.007959
"Jackson, MS",34600,530500,0.1796,NA,0.01269,NA
"Jackson, TN",34100,112000,0.08562,0.02933,0.005761,0.00707
"Jacksonville, FL",39060,1277000,0.2436,NA,0.02822,NA
"Jefferson City, MO",31310,144500,0.08665,0.03492,0.02011,NA
"Johnstown, PA",21360,145900,0.1222,0.07186,0.02887,0.006737
"Joplin, MO",26840,168300,0.07747,0.02058,0.01505,0.01239
"Kansas City, MO-KS",42600,1958000,0.1907,NA,0.05941,NA
"Kennewick-Pasco-Richland, WA",29720,222900,0.09965,0.1445,NA,0.003775
"Killeen-Temple-Fort Hood, TX",26920,357900,0.0736,NA,0.01786,NA
"Kingsport-Bristol-Bristol, TN-VA",26530,301400,NA,NA,0.01413,NA
"Knoxville, TN",36790,669500,0.1405,NA,0.06151,NA
"La Crosse, WI-MN",32510,129800,0.1464,0.02891,NA,NA
"Lafayette, IN",31950,188300,0.1331,0.02926,0.01762,NA
"Lafayette, LA",43470,254400,0.1445,NA,NA,NA
"Lake Charles, LA",42120,190900,0.06778,NA,NA,NA
"Lakeland-Winter Haven, FL",24180,556800,0.1351,0.05632,0.01181,0.02563
"Lansing-East Lansing, MI",34570,455500,0.2281,NA,0.02274,NA
"Las Cruces, NM",20260,193500,0.1176,0.06556,0.0875,0.001276
"Lawrence, KS",24630,112500,0.1447,0.06999,NA,0.004329
"Lebanon, PA",22310,126400,0.06667,0.02589,0.009929,0.005319
"Lewiston-Auburn, ME",27750,106900,NA,0.04719,0.01651,0.00573
"Lima, OH",35190,105200,0.08023,0.01972,0.008104,0.004862
"Lincoln, NE",38330,287800,0.1883,0.05956,0.04052,NA
"Little Rock-North Little Rock-Conway, AR",38100,656600,0.1581,NA,0.03737,NA
"Logan, UT-ID",20230,118400,0.09645,0.05678,0.03591,NA
"Longview, TX",32820,201300,0.06902,0.03421,0.02467,NA
"Longview, WA",24380,98690,0.09185,0.02037,NA,0.0004156
"Los Angeles-Long Beach-Santa Ana, CA",46940,12800000,0.256,0.08569,NA,0.01512
"Louisville-Jefferson County, KY-IN",38660,1219000,0.1726,NA,0.02273,NA
"Lubbock, TX",28550,265900,0.1242,NA,0.04426,NA
"Madera-Chowchilla, CA",19570,143300,0.1012,NA,0.003565,NA
"Madison, WI",48990,546500,0.2517,0.06436,0.0641,NA
"Manhattan, KS",28460,116900,0.09525,NA,0.01713,NA
"McAllen-Edinburg-Mission, TX",14920,686000,0.1056,0.03264,NA,0.001173
"Memphis, TN-MS-AR",41700,1270000,0.1941,0.03986,0.01584,NA
"Merced, CA",19710,241300,0.1184,0.01851,0.003996,0.01115
"Miami-Fort Lauderdale-Pompano Beach, FL",40910,5402000,0.2707,0.06819,NA,0.01256
"Michigan City-La Porte, IN",24980,109200,0.09901,0.022,NA,0.001834
"Midland, TX",42260,123400,0.08971,0.05674,NA,0.02607
"Milwaukee-Waukesha-West Allis, WI",45210,1539000,0.2228,0.05944,0.07219,0.02839
"Missoula, MT",34680,104000,0.2197,0.05603,0.0208,0.003883
"Modesto, CA",25070,505200,0.1606,0.03473,NA,0.008999
"Monroe, LA",31180,172400,0.1077,0.04166,0.008927,0.02734
"Monroe, MI",22890,153200,0.111,NA,0.005706,NA
"Montgomery, AL",32800,362500,0.1537,NA,0.02599,NA
"Morristown, TN",23950,131900,0.07281,NA,0.007597,NA
"Muncie, IN",24500,115500,0.123,0.0523,0.02332,0.00742
"Myrtle Beach-North Myrtle Beach-Conway, SC",33090,239500,0.3198,0.03281,0.0241,0.004417
"Naples-Marco Island, FL",40390,311600,0.3367,0.04513,0.01549,0.01001
"New Haven-Milford, CT",37330,841900,0.1768,0.07798,NA,0.01155
"New Orleans-Metairie-Kenner, LA",48180,991900,0.1462,NA,0.01337,NA
"New York-Northern New Jersey-Long Island, NY-NJ-PA",54050,18850000,0.3314,0.09471,0.04795,NA
"Niles-Benton Harbor, MI",28950,159300,0.1398,0.03078,0.02146,0.0008671
"Norwich-New London, CT",40290,267900,0.09933,0.07181,0.02882,0.002224
"Ocala, FL",20980,313800,0.1855,0.03556,NA,0.002583
"Ocean City, NJ",33840,97540,0.3423,0.03453,0.007573,0.003635
"Odessa, TX",29360,126500,0.09103,0.03367,0.01589,NA
"Oklahoma City, OK",34780,1173000,0.1575,NA,0.0275,NA
"Olympia, WA",28570,232900,0.1542,0.03998,0.01984,0.00481
"Omaha-Council Bluffs, NE-IA",43700,819100,0.2066,NA,0.05953,NA
"Oshkosh-Neenah, WI",40490,160200,0.09741,0.04331,0.06859,0.05148
"Palm Coast, FL",15040,82290,0.2989,0.03554,0.06058,0.0008078
"Panama City-Lynn Haven-Panama City Beach, FL",31520,163900,0.2075,0.06038,0.008516,0.002903
"Pascagoula, MS",23620,149500,0.07901,0.04645,0.02549,0.001416
"Pittsburgh, PA",38350,2361000,0.2018,0.0777,0.03434,0.02946
"Pittsfield, MA",34920,130400,0.2575,0.06503,0.01933,0.009227
"Portland-South Portland-Biddeford, ME",39070,511200,0.2459,0.06013,0.03925,NA
"Portland-Vancouver-Beaverton, OR-WA",46300,2126000,NA,NA,0.2908,NA
"Port St. Lucie, FL",25000,387600,0.2114,0.05036,0.01445,0.003715
"Prescott, AZ",17870,206300,0.1673,0.03824,0.01817,0.001085
"Providence-New Bedford-Fall River, RI-MA",34020,1604000,0.2255,0.05435,0.04354,0.01762
"Provo-Orem, UT",21680,491200,0.1396,NA,0.1379,0.008639
"Pueblo, CO",19260,151700,0.1068,0.03183,0.01164,0.002738
"Punta Gorda, FL",20220,152800,0.2557,0.05374,0.01424,0.002914
